Year,CO2,CH4,N2O,Gaz synthétiques,Total,Total (%)
1990,44.56,5.79,3.36,0.25,53.97,100.5
1991,46.52,5.73,3.37,0.24,55.86,104.0
1992,46.38,5.67,3.32,0.24,55.60,103.5
1993,43.94,5.56,3.33,0.19,53.03,98.7
1994,42.99,5.50,3.30,0.21,52.00,96.8
1995,43.71,5.52,3.33,0.35,52.91,98.5
1996,44.38,5.47,3.34,0.41,53.60,99.8
1997,43.31,5.33,3.29,0.51,52.43,97.6
1998,44.86,5.27,3.21,0.63,53.98,100.5
1999,44.67,5.19,3.24,0.71,53.80,100.2
2000,43.83,5.14,3.28,0.85,53.10,98.9
2001,45.27,5.17,3.25,0.92,54.62,101.7
2002,43.65,5.13,3.32,1.02,53.12,98.9
2003,44.82,5.05,3.18,1.14,54.19,100.9
2004,45.39,5.04,3.11,1.27,54.81,102.0
2005,45.92,5.08,3.13,1.31,55.44,103.2
2006,45.52,5.09,3.11,1.42,55.13,102.7
2007,43.51,5.07,3.15,1.49,53.22,99.1
2008,44.85,5.15,3.07,1.56,54.63,101.7
2009,43.67,5.04,2.95,1.50,53.17,99.0
2010,45.18,5.02,3.08,1.52,54.80,102.0
2011,41.12,4.97,3.01,1.59,50.68,94.4
2012,42.38,4.95,2.98,1.72,52.02,96.9
2013,43.31,4.87,2.99,1.74,52.90,98.5
2014,39.35,4.86,2.97,1.78,48.96,91.2
2015,38.84,4.84,2.97,1.81,48.47,90.2
2016,39.30,4.80,2.90,1.74,48.74,90.8
2017,38.29,4.75,3.06,1.77,47.87,89.1
2018,36.98,4.71,2.93,1.75,46.36,86.3
2019,36.85,4.63,2.99,1.61,46.09,85.8
2020,34.35,4.59,2.90,1.56,43.40,80.8
