time,moving_avg_arve,moving_avg_rhone,moving_avg_leman
2007,8.35,12.375,5.694391036505870
2008,8.375,12.4,5.6618585738193
2009,8.475,12.5,5.665618990485970
2010,8.425,12.375,5.728843349460330
2011,8.475,12.675,5.756947398424540
2012,8.45,12.725,5.6540879546362900
2013,8.375,12.525,5.60087643604125
2014,8.675,12.85,5.572824237707920
2015,8.65,12.775,5.6517964599301400
2016,8.75,12.95,5.803508193991170
2017,8.875,13.2,5.947432543152010
2018,8.80,13.275,6.042827334077940
2019,8.85,13.25,6.093336768040200
2020,8.95,13.45,6.197253108838880
2021,8.975,13.35,6.322600142730900
